ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
562     .....6   02-4219.1         plunger-coil                                      1
563     ....5    03-8050-1         flipper link                                      1
564     ....5    20-9370-1         pin spl 5/32 x 7/16                               1
565     ...4     02-4179           bushing link spacer                               1
566     ...4     4010-01086-14     cs 10-32X7/8 sh                                   1
567     ...4     4700-00023-00     fw .203X.625X.059                                 2
568     ...4     4701-00004-00     lw #10 split                                      1
569     ...4     4410-01132-00     nut 10-32 esn                                     1
570     ..3      A-12390           flpr stop brkt                                    1
571     ..3      FL-11629          flipper coil-blue                                 1
572     ..3      01-7695-1         brkt-solenoid                                     1
573     ..3      03-7066-5         tubing-coil                                       1
574     ..3      03-7568           bushing-flipper                                   1
575     ..3      10-364            spring-retractor                                  1
576     ..3      SW-1A-194         switch assy-make                                  1
577     ...4     06-1-20           blade-contact                                     1
578     ...4     06-2V-14          blade-contact                                     1
579     ...4     03-7007-4A        tubing-switch                                     2
580     ...4     01-916-L          "spacer-loose 1/16"""                             2
581     ...4     01-916-S          "spacer-tight 1/16"""                             2
582     ...4     5860-09374-00     cp prec met 7309fs                                1
583     ...4     5860-06244-00     cp prec met 7207FSn                               1
584     ..3      20-6516           tinnerman sp/nut C06704-Z4-4                      1
585     ..3      23-6577           rubber bumper plug 5/8                            1
586     ..3      4105-01019-10     sms #5X5/8 p-rh-a                                 2
587     ..3      4701-00002-00     lw #6 split                                       2
588     ..3      4010-01066-06     cs 10-32 X 3/8 sh                                 2
589     ..3      4701-00004-00     lw #10 split                                      2
590     ..3      4006-01005-06     ms 6-32X3/8 p-ph                                  3
591     ..3      4406-01117-00     nut 6-32 hex                                      3
592     ..3      4006-01017-04     ms 6-32X1/4 p-rh-s                                2
593     ..3      4008-01079-05     cs 8-32X5/16 h-soc                                2
594     ..3      01-9375           brkt switch mtg                                   1
595     ..3      4701-00003-00     lw #8 split                                       2
596     .2       A-15208           back panel assy                                   1
597     ..3      11-831-50005      back panel-50005                                  1
598     ..3      A-15339           3 lamp pcb assy                                   1
599     ...4     A-15339-AI        3 lamp pcb assy                                   1
600     ....5    5768-13162-00     PCB-3 lamp                                        1
601     ....5    5070-09054-00     diode-1N4004 1.0a                                 3
602     ...4     24-8768           bulb #555 6.3Volts .25Amps                        3
603     ...4     24-8767           socket-pcb twist                                  3
604     ...4     5791-10871-05     5h spl sq pin .156                                1
605     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            3
606     ..3      4106-01033-08B    sms #6X 1/2 p-tr-hd-a                             7
607     ..3      01-10726          leg-rear guide                                    2
608     ..3      4506-01106-16B    sss 6-32x1                                        4
609     ..3      4406-01128-00     nut 6-32 keps                                     4
610     ..3      31-1676A-1        plfd plastic-fishtales                            1
611     ..3      H-15912           back panel gi cable                               1
612     ...4     H-15912-C         back panel gi cable-cut wire                      1
613     ....5    HW-30018-97       wire 18awg wht/vio                               11
614     ....5    HW-30018-7        wire 18awg violet                                11
615     ....5    CW-30022-26       wire 22awg red/blu                               17
616     ....5    CW-30022-48       wire 22awg yel/gry                               17
617     ...4     5791-09400-00     4P1490 03-09-2042                                 1
618     ...4     5820-09080-00     terminal-pm1190 02-09-2101                        2
619     ...4     5820-13237-00     male term pin .093 18-22                          2
620     ...4     03-7520-2         tie wrap-nylon 3 7/8                              4
621     ..3      A-12887           socket & #555 bulb assy                           4
622     ..3      CW-30022-4        wire 22awg yellow                                36
623     ..3      03-7655-8         "clamp cable 1/2""dia"                            1
624     ..3      A-8882            lite skt assy w/dio                               1
625     ...4     A-8882-1          socket & #44 bulb assy                            1
626     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
627     ..3      4106-01115-06Y    sms #6x3/8 pl-hwh-yel                             5
628     .2       A-15211           1 bank drop target assy                           1
629     ..3      03-8750           tgt-flush                                         1
630     ..3      A-14617           brkt & post assy                                  1
631     ..3      4408-01119-00     nut 8-32 esn                                      4
632     ..3      A-11397           drop tgt stop bkt                                 1
633     ..3      AE-26-1200        coil assy comp                                    1
634     ...4     MW-130-26         magnet wire-130deg c sns 26ga                     0
635     ...4     16-8943-8         coil tape-1 3/8 wide                              0
636     ...4     A-22181           small bobbin assy                                 0
637     ....5    03-7041-1         bobbin                                            0
638     ....5    01-14673          terminal coil                                     0
639     ....5    07-6688-17        rivet 5/32X1/8                                    0
640     ..3      01-8413           brkt coil mtg                                     1
641     ..3      03-7066-4         tubing-coil                                       1
642     ..3      A-11388-2         plunger & reset plate assy                        1
643     ...4     02-3972-1         plunger                                           1
644     ...4     01-10380          plate-sngl target reset                           1
645     ...4     4410-01132-01     nut 10-32 esna/ntm                                1
646     ..3      4700-00072-00     fw .265X.500X.032                                 4
647     ..3      10-392            spring-extension                                  1
648     ..3      20-8712-25        e ring 1/4 shaft                                  2
649     ..3      01-10183          brkt switch                                       1
650     ..3      4006-01003-03     ms 6-32X3/16 p-ph-s                               6
651     ..3      03-8034           stop-single target                                1
652     ..3      4010-01025-14     ms 10-32X7/8 p-rh                                 1
653     ..3      07-6688-17N       rivet 5/32X1/8 nickel                             2
654     ..3      10-433            spring-extension                                  1
655     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
656     ..3      5647-12693-31     switch sub mini micro                             1
657     ..3      01-8600           insulator                                         1
658     ..3      4002-01105-10     ms 2-56x5/8 p-ph-s                                2
659     ..3      01-8240           plate-nut #2-56                                   1
660     ..3      01-8647-R         actuator                                          1
661     ..3      03-8630           guide actuator                                    1
662     ..3      A-15821           armature sub assy                                 1
663     ..3      A-15209           frame & eyelet assy                               1
664     ..3      10-363            spring-extension                                  1
665     ..3      SM1-26-600        coil assy                                         1
666     ...4     A-11147-1         bobbin assy                                       0
667     ....5    02-3910           core coil                                         0
668     ....5    03-7045           bobbin                                            0
669     ....5    5825-08639-00     sld lg berg #3056                                 0
670     ...4     MW-130-26         magnet wire-130deg c sns 26ga                     0
671     ...4     16-8797-10        coil tape-9/16 wide                               0
672     ..3      4008-01021-06     ms 8-32X3/8 p-rh-brass                            1
673     ..3      4700-00089-00     fw .172X.437X.062 brass                           1
674     ..3      4701-00003-00     lw #8 split                                       1
675     .2       A-15333-1         3 lamp brd & spacer assy                          1
676     ..3      A-15333           3 lamp pcb assy                                   1
677     ...4     A-15333-AI        3 lamp pcb assy                                   1
678     ....5    5768-13156-00     PCB-3 lamp                                        1
679     ....5    5070-09054-00     diode-1N4004 1.0a                                 3
680     ...4     24-8767           socket-pcb twist                                  3
681     ...4     24-8768           bulb #555 6.3Volts .25Amps                        3
682     ...4     5791-10871-05     5h spl sq pin .156                                1
683     ..3      03-8022-1         "spacer .541 L"""                                 2
684     .2       A-15334-1         4 lamp brd & spacer assy                          1
685     ..3      A-15334           4 lamp pcb assy                                   1
686     ...4     A-15334-AI        4 lamp pcb assy                                   1
687     ....5    5768-13157-00     PCB-4 lamp                                        1
688     ....5    5070-09054-00     diode-1N4004 1.0a                                 4
689     ...4     24-8767           socket-pcb twist                                  4
690     ...4     24-8768           bulb #555 6.3Volts .25Amps                        4
691     ...4     5791-10871-06     6h spl sq pin .156                                1
692     ..3      03-8022-1         "spacer .541 L"""                                 3
693     .2       A-15335-1         5 lamp brd & spacer assy                          1
694     ..3      A-15335           5 lamp pcb assy                                   1
695     ...4     A-15335-AI        5 lamp pcb assy                                   1
696     ....5    5768-13158-00     PCB-5 lamp                                        1
697     ....5    5070-09054-00     diode-1N4004 1.0a                                 5
698     ...4     24-8767           socket-pcb twist                                  5
699     ...4     24-8768           bulb #555 6.3Volts .25Amps                        5
700     ...4     5791-10871-07     7h spl sq pin .156                                1
701     ..3      03-8022-1         "spacer .541 L"""                                 3
702     .2       A-15336-1         6 lamp brd & spacer assy                          1
703     ..3      A-15336           6 lamp pcb assy                                   1
704     ...4     A-15336-AI        6 lamp pcb assy                                   1
705     ....5    5768-13159-00     PCB-6 lamp                                        1
706     ....5    5070-09054-00     diode-1N4004 1.0a                                 6
707     ...4     24-8767           socket-pcb twist                                  6
708     ...4     24-8768           bulb #555 6.3Volts .25Amps                        6
709     ...4     5791-10871-08     8h spl sq pin .156                                1
710     ..3      03-8022-1         "spacer .541 L"""                                 4
711     .2       A-15337-1         15 lamp brd & spacer assy                         1
712     ..3      A-15337           15 lamp pcb assy                                  1
713     ...4     A-15337-AI        15 lamp pcb assy                                  1
714     ....5    5768-13160-00     PCB-15 lamp                                       1
715     ....5    5070-09054-00     diode-1N4004 1.0a                                15
716     ....5    5010-09534-00     res 0ohm 0w                                       2
717     ...4     24-8767           socket-pcb twist                                 15
718     ...4     24-8768           bulb #555 6.3Volts .25Amps                       15
719     ...4     5791-10871-09     9h spl sq pin .156                                1
720     ..3      03-8022-1         "spacer .541 L"""                                 5
721     .2       A-15340-1         motor emi/brake asy-w/spacers                     1
722     ..3      03-8022-1         "spacer .541 L"""                                 4
723     ..3      A-15340           motor emi w/brake assy                            1
724     ...4     A-15340-AI        motor emi w/brake asy-auto ins                    0
725     ....5    5768-13163-01     pcb-motor emi w/brake                             0
726     ....5    5010-08998-00     res 2.2k 1/4w 5%                                  0
727     ....5    5070-09054-00     diode-1N4004 1.0a                                 0
728     ...4     5551-09822-00     ind 4.7 uh 3a                                     0
729     ...4     5791-12273-03     3h str sq lck .156                                0
730     ...4     5791-12273-02     2h str sq lck .156                                0
731     ...4     5162-12635-00     trans tip 102                                     0
732     .2       A-15373           ball guide unit assy                              1
733     ..3      A-15177           ball guide assy                                   1
734     ...4     01-10576          brkt ball deflector                               1
735     ...4     01-10537          ball guide                                        1
736     ..3      12-7035           gate-wire                                         1
737     ..3      A-11271           socket & #44 bulb assy                            1
738     ...4     A-11271-1         skt & bulb sub-assy                               1
739     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
740     ..3      H-15534           bait shop cable                                   1
741     ...4     H-15534-C         bait shop cable-cut wire                          1
742     ....5    CW-30022-29       wire 22awg red/wht                                9
743     ....5    CW-30022-63       wire 22awg blu/org                                9
744     ....5    CW-30022-21       wire 22awg red/brn                               12
745     ....5    CW-30022-47       wire 22awg yel/vio                               12
746     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
747     ...4     5791-10772-00     2P11625 03-06-2023                                2
748     ...4     5820-09078-00     pm1560 02-06-2101                                 4
749     ...4     RM-23-03          heat shrink tubing 3/16 dia                       6
750     ..3      31-1676-7         plfd plastic-fishtales                            1
751     ..3      4006-01003-08     ms 6-32X1/2 p-ph-s                                2
752     ..3      4006-01003-14     ms 6-32X7/8 p-ph-s                                2
753     ..3      4406-01128-00     nut 6-32 keps                                     3
754     ..3      03-8022-5         "spacer .343 L"""                                 2
755     ..3      A-9302            socket & #89 bulb assy                            1
756     .2       A-15401           spin target light unit assy                       1
757     ..3      A-15402           spin target sub assy                              1
758     ...4     01-10658          brkt spin tgt light mtg                           1
759     ..3      03-7796           washer-.07                                        3
760     ..3      12-6780           wire actuator                                     1
761     ..3      20-9597           prism foil                                        2
762     ..3      A-11915           shaft & target assy                               1
763     ..3      A-15415           5 lamp pcb assy                                   1
764     ...4     A-15415-AI        5 lamp pcb assy                                   1
765     ....5    5768-13178-00     PCB-5 lamp                                        1
766     ....5    5070-09054-00     diode-1N4004 1.0a                                 5
767     ...4     24-8767           socket-pcb twist                                  5
768     ...4     24-8768           bulb #555 6.3Volts .25Amps                        5
769     ...4     5791-10871-07     7h spl sq pin .156                                1
770     ..3      31-1676-8         plfd plastic-fishtales                            1
771     ..3      4006-01003-14     ms 6-32X7/8 p-ph-s                                2
772     ..3      03-8022-5         "spacer .343 L"""                                 2
773     ..3      03-8063-6         sleeve lite-yellow                                5
774     ..3      4008-01003-08     ms 8-32 X 1/2 p-ph-s                              2
775     ..3      4408-01128-00     nut 8-32 keps                                     2
776     ..3      4406-01128-00     nut 6-32 keps                                     2
777     ..3      A-12336-1         socket & #906 bulb assy                           1
778     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             1
779     ..3      4700-00003-00     fw .125X.281X.032                                 1
780     ..3      H-15684           truth flash cable                                 1
781     ...4     H-15684-C         truth flash cable-cut wire                        1
782     ....5    CW-30022-29       wire 22awg red/wht                               10
783     ....5    CW-30022-62       wire 22awg blu/red                               10
784     ...4     5791-10772-00     2P11625 03-06-2023                                1
785     ...4     5820-09078-00     pm1560 02-06-2101                                 2
786     ...4     RM-23-01          tubing-heat shrink-1/8 poly                       8
787     .2       A-15403-1         flipper return frame assy-left                    1
788     ..3      01-6794-L-1       ball guide-flp rtn                                2
789     ..3      03-8022-1         "spacer .541 L"""                                 9
790     ..3      31-1676-3         plfd plastic-fishtales                            1
791     ..3      4006-01027-40     ms 6-32X2 1/2 p-rwh                               3
792     .2       A-15403-2         flipper return frame asy-right                    1
793     ..3      01-6794-R-1       ball guide-flp rtn                                2
794     ..3      03-8022-1         "spacer .541 L"""                                 9
795     ..3      31-1676-4         plfd plastic-fishtales                            1
796     ..3      4006-01027-40     ms 6-32X2 1/2 p-rwh                               3
797     .2       A-15404           reel enter ramp assy                              1
798     ..3      12-7010           ramp-reel enter                                   1
799     ..3      5647-12693-17     switch sub mini micro                             1
800     ..3      4002-01105-08     ms 2-56x1/2 p-ph-s                                2
801     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
802     ..3      01-10666          brkt wire switch cover                            1
803     ..3      31-1683-4         decal-playfield                                   1
804     ..3      H-15530           ramp exit switch cable                            1
805     ...4     H-15530-C         ramp exit switch cbl-cut wire                     1
806     ....5    CW-30022-5        wire 22awg green                                 10
807     ....5    CW-30022-9        wire 22awg white                                 10
808     ...4     5791-10772-00     2P11625 03-06-2023                                1
809     ...4     5820-09078-00     pm1560 02-06-2101                                 2
810     ...4     RM-23-01          tubing-heat shrink-1/8 poly                       9
811     .2       A-16637-1         playfield slide assy-left                         1
812     ..3      01-11436-1        slide-plfd                                        1
813     ..3      01-10664          retainer-lever                                    1
814     ..3      02-4615           shoulder rivet                                    1
815     .2       A-16637-2         playfield slide assy-right                        1
816     ..3      01-11436-2        slide-plfd                                        1
817     ..3      01-10664          retainer-lever                                    1
818     ..3      02-4615           shoulder rivet                                    1
819     .2       A-15405           fish rod & reel cover assy                        1
820     ..3      03-8646           cover-fish rod/reel                               1
821     ..3      31-1682-1         decal-playfield                                   1
822     ..3      31-1682-2         decal-playfield                                   1
823     ..3      31-1682-3         decal-playfield                                   1
824     .2       A-15412           right wire ramp assy                              1
825     ..3      12-7013           ramp-right                                        1
826     ..3      23-6686           pad-round                                         1
827     .2       A-15413           left wire ramp assy                               1
828     ..3      12-7012           ramp-left                                         1
829     ..3      23-6686           pad-round                                         1
830     .2       A-15470-1         3 lamp brd & spacer assy                          2
831     ..3      A-15470           3 lamp pcb assy                                   2
832     ...4     A-15470-AI        3 lamp pcb assy                                   2
833     ....5    5768-13207-00     PCB-3 lamp                                        2
834     ....5    5070-09054-00     diode-1N4004 1.0a                                 6
835     ...4     24-8767           socket-pcb twist                                  6
836     ...4     24-8768           bulb #555 6.3Volts .25Amps                        6
837     ...4     5791-10871-05     5h spl sq pin .156                                2
838     ..3      03-8022-1         "spacer .541 L"""                                 4
839     .2       A-15506           plfd plst & brkt assy                             1
840     ..3      01-10723          brkt plfd plastic                                 1
841     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             2
842     ..3      31-1676A-2        plfd plastic-fishtales                            1
843     ..3      4700-00003-00     fw .125X.281X.032                                 2
844     .2       A-15531           wire ramp cover assy                              1
845     ..3      01-10667          brkt wire ramp cover                              1
846     ..3      31-1683-1         decal-playfield                                   1
847     ..3      31-1683-2         decal-playfield                                   1
848     .2       A-15544-1         plfd plastic assy-50005                           1
849     ..3      31-1676-13        plfd plastic-fishtales                            1
850     ..3      03-8022-3         "spacer 1.171 L"""                                2
851     ..3      4106-01022-27     sms #6X1-11/16 p-rwh-a                            2
852     .2       A-15544-2         plfd plastic assy-50005                           1
853     ..3      31-1676-20        plfd plastic-fishtales                            1
854     ..3      03-8022-3         "spacer 1.171 L"""                                1
855     ..3      4106-01022-27     sms #6X1-11/16 p-rwh-a                            1
856     .2       A-15544-3         plfd plastic assy-50005                           1
857     ..3      31-1676-18        plfd plastic-fishtales                            1
858     ..3      03-8022-3         "spacer 1.171 L"""                                2
859     ..3      4106-01022-27     sms #6X1-11/16 p-rwh-a                            2
860     .2       A-15544-4         plfd plastic assy-50005                           1
861     ..3      31-1676-6         plfd plastic-fishtales                            1
862     ..3      03-8022-3         "spacer 1.171 L"""                                2
863     ..3      4106-01022-27     sms #6X1-11/16 p-rwh-a                            2
864     .2       A-15544-5         plfd plastic assy-50005                           1
865     ..3      31-1676-11        plfd plastic-fishtales                            1
866     ..3      03-8022-3         "spacer 1.171 L"""                                2
867     ..3      4106-01022-27     sms #6X1-11/16 p-rwh-a                            2
868     .2       A-15544-6         plfd plastic assy-50005                           1
869     ..3      03-8022-6         "spacer .733 L"""                                 1
870     ..3      31-1676-14        plfd plastic-fishtales                            1
871     ..3      03-8022-2         "spacer 1.062 L"""                                1
872     ..3      4006-01005-24     ms 6-32 X1 1/2 p-ph                               1
873     ..3      4006-01005-18     ms 6-32X1-1/8 p-ph                                1
874     .2       A-15544-7         plfd plastic assy-50005                           1
875     ..3      31-1676-5         plfd plastic-fishtales                            1
876     ..3      31-1676A-3        plfd plastic-fishtales                            1
877     ..3      4106-01022-27     sms #6X1-11/16 p-rwh-a                            1
878     ..3      03-8022-3         "spacer 1.171 L"""                                2
879     ..3      4006-01005-20     ms 6-32X1-1/4 p-ph                                2
880     ..3      03-8022-1         "spacer .541 L"""                                 1
881     ..3      4406-01119-00     nut 6-32 esn                                      2
882     ..3      01-10870          brkt deflector                                    1
883     ..3      07-6688-18N       rivet 3/16X1/8 nickel                             2
884     ..3      03-8022-6         "spacer .733 L"""                                 2
885     ..3      4106-01033-08     sms #6X1/2 p-tr-hd-a                              1
886     ..3      03-8044-9         post mini-tr red                                  1
887     .2       A-15544-8         plfd plastic assy-50005                           1
888     ..3      31-1676-21        plfd plastic-fishtales                            1
889     ..3      03-8044-9         post mini-tr red                                  2
890     ..3      4106-01033-08     sms #6X1/2 p-tr-hd-a                              2
891     .2       A-15544-9         plfd plastic assy-50005                           1
892     ..3      31-1676-15        plfd plastic-fishtales                            1
893     ..3      03-8044-9         post mini-tr red                                  1
894     ..3      4106-01033-08     sms #6X1/2 p-tr-hd-a                              1
895     .2       A-15648           single lamp pcb & spacer assy                     4
896     ..3      B-12224           single lamp assy                                  4
897     ...4     B-12224-AI        sngl lamp & dio asy-auto insrt                    4
898     ....5    5768-12312-00     pcb-single lamp                                   4
899     ....5    5070-09054-00     diode-1N4004 1.0a                                 4
900     ...4     24-8767           socket-pcb twist                                  4
901     ...4     24-8768           bulb #555 6.3Volts .25Amps                        4
902     ..3      03-8022-1         "spacer .541 L"""                                 8
903     .2       A-15658-6         stat tgt-frt mtg95 oblg-op yel                    1
904     ..3      SW-1A-178-6       switch-oblong tgt-yellow                          1
905     ...4     A-11175           bld & contact assy                                1
906     ....5    06-1-14           blade-contact                                     1
907     ....5    5860-09374-00     cp prec met 7309fs                                1
908     ...4     B-12582-6         blade & target assy                               1
909     ....5    A-12581           blade & cntact assy                               1
910     .....6   06-13H-14         blade-contact                                     1
911     .....6   5860-09374-00     cp prec met 7309fs                                1
912     ....5    03-8225-6         tgt oblong stat-op yellow                         1
913     ....5    07-6697-4         rivet .125X.187x.218 zinc                         1
914     ....5    4700-00003-00     fw .125X.281X.032                                 1
915     ...4     01-916-H          "spacer- 3/32"""                                  1
916     ...4     01-916-S          "spacer-tight 1/16"""                             2
917     ...4     01-916-T          "spacer- 1/32"""                                  1
918     ...4     03-7007-6         "tubing-3/8"""                                    2
919     ...4     06-1F-14          blade-contact                                     2
920     ...4     06-20-20          blade-back up                                     2
921     ...4     06-73-2           blade-insulator                                   1
922     ..3      01-3670           plate-switch curved                               1
923     ..3      01-12346          brkt switch mtg 95degree red                      1
924     ..3      01-8657           brkt stop                                         1
925     ..3      07-6688-27        rivet 9/16X1/8                                    2
926     ..3      23-6534-9         rubber protector 3/8                              1
927     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
928     .2       A-15698           opto sw brd & spacer assy                         1
929     ..3      A-13901-1         opto switch pcb assy                              1
930     ...4     A-13901-1-AI      opto ramp switch assy                             1
931     ....5    5768-12686-00     pcb-opto ramp sw                                  1
932     ....5    5010-08774-00     res 22K 1/4W 5%                                   2
933     ....5    5010-09034-00     res 10k 1/4w 5%                                   1
934     ....5    5010-09162-00     res 100k 1/4w 5%                                  2
935     ....5    5010-09999-00     res 2K 1/4 W 5%                                   6
936     ....5    5043-08980-00     cap 0.01m 50v +80-20 axial                        1
937     ....5    5070-09054-00     diode-1N4004 1.0a                                 4
938     ...4     16-8850-353       label-pcb asy id A-13901-1                        1
939     ...4     5010-12733-00     res 220ohm 1w 5%                                  3
940     ...4     5370-12272-00     ic LM339 quad comp                                1
941     ...4     5791-12273-05     5h str sq lk .156                                 2
942     ...4     5791-12273-07     7h str sq lck .156                                1
943     ...4     5040-12298-00     cap 100M 40V-10+50 axial                          1
944     ..3      20-9521           standoff pcb lock'g                               4
945     .2       A-15741           stationary target & decal assy                    4
946     ..3      31-1705           decal-stat target                                 4
947     ..3      A-15330-2         sta tgt-frt mtg95 rect-op grn                     4
948     ...4     A-11175           bld & contact assy                                4
949     ....5    06-1-14           blade-contact                                     4
950     ....5    5860-09374-00     cp prec met 7309fs                                4
951     ...4     03-8656-2         "tgt-1.37x1"" opq green"                          4
952     ...4     01-916-H          "spacer- 3/32"""                                  4
953     ...4     01-916-T          "spacer- 1/32"""                                  4
954     ...4     01-916-S          "spacer-tight 1/16"""                             8
955     ...4     06-1F-14          blade-contact                                     8
956     ...4     06-20-20          blade-back up                                     8
957     ...4     01-8657           brkt stop                                         4
958     ...4     06-73-2           blade-insulator                                   4
959     ...4     01-3670           plate-switch curved                               4
960     ...4     23-6684-2         rubber protector-target                           4
961     ...4     03-7007-6         "tubing-3/8"""                                    8
962     ...4     01-12346          brkt switch mtg 95degree red                      4
963     ...4     07-6697-4         rivet .125X.187x.218 zinc                         4
964     ...4     A-8378            blade & contact assy                              4
965     ....5    06-13G-14         blade-contact                                     4
966     ....5    5860-09374-00     cp prec met 7309fs                                4
967     ...4     4700-00003-00     fw .125X.281X.032                                 4
968     ...4     07-6688-27        rivet 9/16X1/8                                    8
969     ...4     5070-09054-00     diode-1N4004 1.0a                                 4
970     .2       A-15749           coil & brkt assy                                  1
971     ..3      AE-27-1200        coil assy                                         1
972     ...4     A-22181           small bobbin assy                                 0
973     ....5    03-7041-1         bobbin                                            0
974     ....5    01-14673          terminal coil                                     0
975     ....5    07-6688-17        rivet 5/32X1/8                                    0
976     ...4     MW-130-27         magnet wire-130deg c sns 27ga                     0
977     ...4     16-8943-11        coil tape-1 3/8 wide                              0
978     ..3      B-7572-1          brkt & stop assy                                  1
979     ..3      01-8-508-S        brkt coil retainer                                1
980     ..3      4006-01017-06     ms 6-32X3/8 p-rh-s                                2
981     ..3      4406-01119-00     nut 6-32 esn                                      2
982     ..3      03-7066           tubing-coil                                       1
983     .2       A-8039-3          ball release assy                                 1
984     ..3      A-6378            mtg plate assy                                    1
985     ...4     01-3567           plate-mounting                                    1
986     ...4     02-2991           stud kicker                                       1
987     ..3      A-6889            kicker lever assy                                 1
988     ...4     01-3568           lever-kicker                                      1
989     ...4     02-2990           hub kicker                                        1
990     ...4     02-3369           stud spring                                       1
991     ..3      A-8038            coil stop assy                                    1
992     ..3      AE-27-1200        coil assy                                         1
993     ...4     A-22181           small bobbin assy                                 0
994     ....5    03-7041-1         bobbin                                            0
995     ....5    01-14673          terminal coil                                     0
996     ....5    07-6688-17        rivet 5/32X1/8                                    0
997     ...4     MW-130-27         magnet wire-130deg c sns 27ga                     0
998     ...4     16-8943-11        coil tape-1 3/8 wide                              0
999     ..3      03-7066           tubing-coil                                       1
1000    ..3      03-7176-1         striker ring                                      1
1001    ..3      10-101-4          spring-reset                                      1
1002    ..3      20-8712-25        e ring 1/4 shaft                                  1
1003    ..3      4006-01003-03     ms 6-32X3/16 p-ph-s                               2
1004    ..3      02-2364           plunger-coil                                      1
1005    ..3      20-8716-5         pin roll 1/8 x 7/16                               1
1006    ..3      01-4251           ball return link                                  2
1007    .2       A-8284-2          kicker switch assy                                2
1008    ..3      CW-30022-03       wire 22awg blk/org                               24
1009    ..3      A-11701           sw & brkt assy                                    2
1010    ...4     SW-1A-114         switch-kicker                                     2
1011    ....5    A-8394            blade & contact assy                              2
1012    .....6   06-36-10          blade-contact                                     2
1013    .....6   5860-09374-00     cp prec met 7309fs                                2
1014    ....5    A-8395            blade & contact assy                              2
1015    .....6   06-35-8           blade-contact                                     2
1016    .....6   5860-09374-00     cp prec met 7309fs                                2
1017    ....5    01-916-H          "spacer- 3/32"""                                  2
1018    ....5    01-916-L          "spacer-loose 1/16"""                             4
1019    ....5    01-916-T          "spacer- 1/32"""                                  2
1020    ....5    01-916-S          "spacer-tight 1/16"""                             4
1021    ....5    03-7007-6A        "tubing-13/32"""                                  4
1022    ....5    06-20-20          blade-back up                                     2
1023    ...4     01-3670           plate-switch curved                               2
1024    ...4     01-624            brkt switch                                       2
1025    ...4     07-6688-26        rivet 1/2X1/8                                     4
1026    ..3      A-17186           stand up switch & brkt assy                       2
1027    ...4     SW-1A-120-1       switch-stand up                                   2
1028    ....5    A-8394            blade & contact assy                              2
1029    .....6   06-36-10          blade-contact                                     2
1030    .....6   5860-09374-00     cp prec met 7309fs                                2
1031    ....5    A-8395            blade & contact assy                              2
1032    .....6   06-35-8           blade-contact                                     2
1033    .....6   5860-09374-00     cp prec met 7309fs                                2
1034    ....5    01-916-L          "spacer-loose 1/16"""                             4
1035    ....5    01-916-Q          "spacer- 1/64"""                                  2
1036    ....5    01-916-S          "spacer-tight 1/16"""                             4
1037    ....5    01-916-T          "spacer- 1/32"""                                  2
1038    ....5    03-7007-5A        "tubing-11/32"""                                  4
1039    ....5    06-17             blade-side lug                                    2
1040    ....5    06-20-20          blade-back up                                     2
1041    ...4     01-624            brkt switch                                       2
1042    ...4     01-3670           plate-switch curved                               2
1043    ...4     07-6688-27        rivet 9/16X1/8                                    4
1044    ...4     5070-09054-00     diode-1N4004 1.0a                                 2
1045    .2       A-8645            wire form & brkt assy                             1
1046    ..3      01-497            brkt mtg wire                                     1
1047    ..3      12-6581           wire                                              1
1048    .2       A-8798            socket & #89 bulb assy                            2
1049    .2       A-9381-R          eject switch & brkt assy                          1
1050    ..3      A-7438-1          terminal strp assy                                1
1051    ..3      01-7151           brkt guide                                        1
1052    ..3      5070-09054-00     diode-1N4004 1.0a                                 1
1053    ..3      5647-12133-11     switch mini micro                                 1
1054    ..3      4004-01003-10     ms 4-40X5/8 p-ph-s                                2
1055    .2       A-9361-R-11       ball eject assy right                             1
1056    ..3      A-6949-R          spring plate assy                                 1
1057    ..3      A-7471-R          eject cam assy                                    1
1058    ..3      A-8050-2          plunger assy                                      1
1059    ...4     02-3407-1         plunger coil 2-5/16                               1
1060    ...4     03-8085           armature link                                     1
1061    ...4     20-8716-5         pin roll 1/8 x 7/16                               1
1062    ..3      A-18146           mtg brkt assy                                     1
1063    ..3      10-320            spring-eject (red)                                1
1064    ..3      12-6227           clip-hair pin                                     2
1065    ..3      4700-00030-00     fw .265X.500X.067                                 1
1066    ..3      4700-00103-00     fw .265X.500X.015                                 1
1067    .2       A-9415-2          jet bumper coil assy-2 pin con                    3
1068    ..3      AE-26-1200        coil assy comp                                    3
1069    ...4     MW-130-26         magnet wire-130deg c sns 26ga                     0
1070    ...4     16-8943-8         coil tape-1 3/8 wide                              0
1071    ...4     A-22181           small bobbin assy                                 0
1072    ....5    03-7041-1         bobbin                                            0
1073    ....5    01-14673          terminal coil                                     0
